Title,Link,Journal Title,Publication Year,Authors,DOI,Keywords,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Journal Title,Publication Year,Authors,DOI,Keywords,FieldsOfStudy,Citations (in PMC),Citations (Crossref),Citations (OpenAlex),Citations (Semantic Scholar),Influential Citations,Altmetric Score,Mendeley Readers,Social Media Mentions,OpenAlex Concepts,TLDR Summary,Full Text Link
"Cosmic kidney disease: an integrated pan-omic, physiological and morphological study into spaceflight-induced renal dysfunction",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167060/,Nature Communications,2024.0,"Keith Siew, Kevin A. Nestler, Charlotte Nelson, Viola D’Ambrosio, Chutong Zhong, Zhongwang Li, Alessandra Grillo, Elizabeth R. Wan, Vaksha Patel, Eliah Overbey, JangKeun Kim, Sanghee Yun, Michael B. Vaughan, Chris Cheshire, Laura Cubitt, Jessica Broni-Tabi, Maneera Yousef Al-Jaber, Valery Boyko, Cem Meydan, Peter Barker, Shehbeel Arif, Fatemeh Afsari, Noah Allen, Mohammed Al-Maadheed, Selin Altinok, Nourdine Bah, Samuel Border, Amanda L. Brown, Keith Burling, Margareth Cheng-Campbell, Lorianna M. Colón, Lovorka Degoricija, Nichola Figg, Rebecca Finch, Jonathan Foox, Pouya Faridi, Alison French, Samrawit Gebre, Peter Gordon, Nadia Houerbi, Hossein Valipour Kahrood, Frederico C. Kiffer, Aleksandra S. Klosinska, Angela Kubik, Han-Chung Lee, Yinghui Li, Nicholas Lucarelli, Anthony L. Marullo, Irina Matei, Colleen M. McCann, Sayat Mimar, Ahmed Naglah, Jérôme Nicod, Kevin M. O’Shaughnessy, Lorraine Christine De Oliveira, Leah Oswalt, Laura Ioana Patras, San-huei Lai Polo, María Rodríguez-Lopez, Candice Roufosse, Omid Sadeghi-Alavijeh, Rebekah Sanchez-Hodge, Anindya S. Paul, Ralf Bernd Schittenhelm, Annalise Schweickart, Ryan T. Scott, Terry Chin Choy Lim Kam Sian, Willian A. da Silveira, Hubert Slawinski, Daniel Snell, Julio Sosa, Amanda M. Saravia-Butler, Marshall Tabetah, Erwin Tanuwidjaya, Simon Walker-Samuel, Xiaoping Yang, Yasmin, Haijian Zhang, Jasminka Godovac-Zimmermann, Pinaki Sarder, Lauren M. Sanders, Sylvain V. Costes, Robert A. A. Campbell, Fathi Karouia, Vidya Mohamed-Alis, Samuel Rodriques, Steven Lynham, Joel Ricky Steele, Sergio Baranzini, Hossein Fazelinia, Zhongquan Dai, Akira Uruno, Dai Shiba, Masayuki Yamamoto, Eduardo A.C.Almeida, Elizabeth Blaber, Jonathan C. Schisler, Amelia J. Eisch, Masafumi Muratani, Sara R. Zwart, Scott M. Smith, Jonathan M. Galazka, Christopher E. Mason, Afshin Beheshti, Stephen B. Walsh",10.1038/s41467-024-49212-1,,,20.0,19.0,16.0,0.0,2215.05,45.0,590.0,"Spaceflight, Nephron, Kidney, Biology, Transcriptome",It is found that spaceflight induces renal transporter dephosphorylation which may indicate astronauts’ increased risk of nephrolithiasis is in part a primary renal phenomenon rather than solely a secondary consequence of bone loss.,Nature Communications,2024.0,"Keith Siew, Kevin A. Nestler, Charlotte Nelson, Viola D’Ambrosio, Chutong Zhong, Zhongwang Li, Alessandra Grillo, Elizabeth R. Wan, Vaksha Patel, Eliah Overbey, JangKeun Kim, Sanghee Yun, Michael B. Vaughan, Chris Cheshire, Laura Cubitt, Jessica Broni-Tabi, Maneera Yousef Al-Jaber, Valery Boyko, Cem Meydan, Peter Barker, Shehbeel Arif, Fatemeh Afsari, Noah Allen, Mohammed Al-Maadheed, Selin Altinok, Nourdine Bah, Samuel Border, Amanda L. Brown, Keith Burling, Margareth Cheng-Campbell, Lorianna M. Colón, Lovorka Degoricija, Nichola Figg, Rebecca Finch, Jonathan Foox, Pouya Faridi, Alison French, Samrawit Gebre, Peter Gordon, Nadia Houerbi, Hossein Valipour Kahrood, Frederico C. Kiffer, Aleksandra S. Klosinska, Angela Kubik, Han-Chung Lee, Yinghui Li, Nicholas Lucarelli, Anthony L. Marullo, Irina Matei, Colleen M. McCann, Sayat Mimar, Ahmed Naglah, Jérôme Nicod, Kevin M. O’Shaughnessy, Lorraine Christine De Oliveira, Leah Oswalt, Laura Ioana Patras, San-huei Lai Polo, María Rodríguez-Lopez, Candice Roufosse, Omid Sadeghi-Alavijeh, Rebekah Sanchez-Hodge, Anindya S. Paul, Ralf Bernd Schittenhelm, Annalise Schweickart, Ryan T. Scott, Terry Chin Choy Lim Kam Sian, Willian A. da Silveira, Hubert Slawinski, Daniel Snell, Julio Sosa, Amanda M. Saravia-Butler, Marshall Tabetah, Erwin Tanuwidjaya, Simon Walker-Samuel, Xiaoping Yang, Yasmin, Haijian Zhang, Jasminka Godovac-Zimmermann, Pinaki Sarder, Lauren M. Sanders, Sylvain V. Costes, Robert A. A. Campbell, Fathi Karouia, Vidya Mohamed-Alis, Samuel Rodriques, Steven Lynham, Joel Ricky Steele, Sergio Baranzini, Hossein Fazelinia, Zhongquan Dai, Akira Uruno, Dai Shiba, Masayuki Yamamoto, Eduardo A.C.Almeida, Elizabeth Blaber, Jonathan C. Schisler, Amelia J. Eisch, Masafumi Muratani, Sara R. Zwart, Scott M. Smith, Jonathan M. Galazka, Christopher E. Mason, Afshin Beheshti, Stephen B. Walsh",10.1038/s41467-024-49212-1,,['Medicine'],,20.0,19.0,16.0,0.0,2215.0499999999997,45,590.0,"Spaceflight, Nephron, Kidney, Biology, Transcriptome",It is found that spaceflight induces renal transporter dephosphorylation which may indicate astronauts’ increased risk of nephrolithiasis is in part a primary renal phenomenon rather than solely a secondary consequence of bone loss.,https://www.nature.com/articles/s41467-024-49212-1.pdf
Spaceflight induces changes in gene expression profiles linked to insulin and estrogen,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166981/,Communications Biology,2024.0,"Begum Aydogan Mathyk, Marshall Tabetah, Rashid Karim, Victoria Zaksas, JangKeun Kim, R. I. Anu, Masafumi Muratani, Alexia Tasoula, Ruth Subhash Singh, Yen-Kai Chen, Eliah Overbey, Jiwoon Park, Henry Cope, Hossein Fazelinia, Davide Povero, Joseph Borg, Remi V. Klotz, Min Yu, Steven L. Young, Christopher E. Mason, Nathaniel Szewczyk, Riley M. St Clair, Fathi Karouia, Afshin Beheshti",10.1038/s42003-023-05213-2,,,19.0,17.0,17.0,1.0,124.8,30.0,47.0,"Insulin resistance, Estrogen, Biology, Spaceflight, Insulin","The need for further research on the metabolic and reproductive endocrinologic effects of space travel, if the authors are to become a successful interplanetary species is strongly suggested.",Communications Biology,2024.0,"Begum Aydogan Mathyk, Marshall Tabetah, Rashid Karim, Victoria Zaksas, JangKeun Kim, R. I. Anu, Masafumi Muratani, Alexia Tasoula, Ruth Subhash Singh, Yen-Kai Chen, Eliah Overbey, Jiwoon Park, Henry Cope, Hossein Fazelinia, Davide Povero, Joseph Borg, Remi V. Klotz, Min Yu, Steven L. Young, Christopher E. Mason, Nathaniel Szewczyk, Riley M. St Clair, Fathi Karouia, Afshin Beheshti",10.1038/s42003-023-05213-2,,['Medicine'],,19.0,17.0,17.0,1.0,124.8,31,47.0,"Insulin resistance, Estrogen, Biology, Spaceflight, Insulin","The need for further research on the metabolic and reproductive endocrinologic effects of space travel, if the authors are to become a successful interplanetary species is strongly suggested.",https://www.nature.com/articles/s42003-023-05213-2.pdf
Protective alleles and precision healthcare in crewed spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11263583/,Nature Communications,2024.0,"Lindsay A. Rutter, Matthew J. MacKay, Henry Cope, Nathaniel J. Szewczyk, JangKeun Kim, Eliah Overbey, Braden T. Tierney, Masafumi Muratani, Ben Lamm, Daniela Bezdan, Amber M. Paul, Michael A. Schmidt, George M. Church, Stefania Giacomello, Christopher E. Mason",10.1038/s41467-024-49423-6,,,8.0,8.0,1.0,0.0,4.85,13.0,11.0,"Spaceflight, Crew, Precision medicine, Allele, Human health",,Nature Communications,2024.0,"Lindsay A. Rutter, Matthew J. MacKay, Henry Cope, Nathaniel J. Szewczyk, JangKeun Kim, Eliah Overbey, Braden T. Tierney, Masafumi Muratani, Ben Lamm, Daniela Bezdan, Amber M. Paul, Michael A. Schmidt, George M. Church, Stefania Giacomello, Christopher E. Mason",10.1038/s41467-024-49423-6,,['Medicine'],,8.0,8.0,1.0,0.0,4.85,13,11.0,"Spaceflight, Crew, Precision medicine, Allele, Human health",,https://www.nature.com/articles/s41467-024-49423-6.pdf
To boldly go where no microRNAs have gone before: Spaceflight impact on risk for small-for-gestational-age infants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11484870/,Communications Biology,2024.0,"Giada Corti, JangKeun Kim, Francisco J. Enguita, Joseph W. Guarnieri, Lawrence I. Grossman, Sylvain V. Costes, Matias Fuentealba, Ryan T. Scott, Andrea Magrini, Lauren M. Sanders, Kanhaiya Singh, Chandan K. Sen, Cassandra M. Juran, Amber M. Paul, David Furman, Jean Calleja-Agius, Christopher E. Mason, Diego Galeano, Massimo Bottini, Afshin Beheshti",10.1038/s42003-024-07022-7,,,0.0,0.0,0.0,0.0,,,,"Spaceflight, Small for gestational age, Gestational age, Medicine, Aeronautics",,Communications Biology,2024.0,"Giada Corti, JangKeun Kim, Francisco J. Enguita, Joseph W. Guarnieri, Lawrence I. Grossman, Sylvain V. Costes, Matias Fuentealba, Ryan T. Scott, Andrea Magrini, Lauren M. Sanders, Kanhaiya Singh, Chandan K. Sen, Cassandra M. Juran, Amber M. Paul, David Furman, Jean Calleja-Agius, Christopher E. Mason, Diego Galeano, Massimo Bottini, Afshin Beheshti",10.1038/s42003-024-07022-7,,['Medicine'],,0.0,0.0,0.0,0.0,,,,"Spaceflight, Small for gestational age, Gestational age, Medicine, Aeronautics",,https://www.nature.com/articles/s42003-024-07022-7.pdf
Growth chambers on the International Space Station for large plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10780891/,Plants,2023.0,"Tatiana S. Aniskina, Kirill A. Sudarikov, Margarita A. Levinskikh, Alexander A. Gulevich, Ekaterina N. Baranova",10.3390/plants13010073,,,4.0,7.0,4.0,0.0,7.0,8.0,2.0,"Kernel (algebra), Space (punctuation), Mathematics, Crew, Asymmetry",,Plants,2023.0,"Tatiana S. Aniskina, Kirill A. Sudarikov, Margarita A. Levinskikh, Alexander A. Gulevich, Ekaterina N. Baranova",10.3390/plants13010073,,['Medicine'],,4.0,7.0,4.0,0.0,7.0,8,2.0,"Kernel (algebra), Space (punctuation), Mathematics, Crew, Asymmetry",,https://www.mdpi.com/2223-7747/13/1/73/pdf?version=1703573008
Microbiological and nutritional analysis of lettuce crops grown on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7067979/,Frontiers in Plant Science,2020.0,"Christina L. M. Khodadad, Mary E. Hummerick, LaShelle E. Spencer, Anirudha R. Dixit, Jeffrey T. Richards, Matthew W. Romeyn, Trent M. Smith, Raymond M. Wheeler, Gioia D. Massa",10.3389/fpls.2020.00199,,,96.0,106.0,96.0,1.0,1213.45,221.0,323.0,"Lactuca, Biology, Botany, Crop, Microorganism","This study indicated that leafy vegetable crops can produce safe, edible, fresh food to supplement to the astronauts’ diet, and provide baseline data for continual operation of the Veggie plant growth units on ISS.",Frontiers in Plant Science,2020.0,"Christina L. M. Khodadad, Mary E. Hummerick, LaShelle E. Spencer, Anirudha R. Dixit, Jeffrey T. Richards, Matthew W. Romeyn, Trent M. Smith, Raymond M. Wheeler, Gioia D. Massa",10.3389/fpls.2020.00199,,"['Biology', 'Medicine']",,96.0,106.0,96.0,1.0,1213.45,221,323.0,"Lactuca, Biology, Botany, Crop, Microorganism","This study indicated that leafy vegetable crops can produce safe, edible, fresh food to supplement to the astronauts’ diet, and provide baseline data for continual operation of the Veggie plant growth units on ISS.",https://www.frontiersin.org/articles/10.3389/fpls.2020.00199/pdf
Natural variation in the expression of ORGANIC CATION TRANSPORTER 1 affects root length responses to cadaverine in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4321547/,Journal of Experimental Botany,2014.0,"Allison K. Strohm, Laura M. Vaughn, Patrick H. Masson",10.1093/jxb/eru444,,,23.0,26.0,34.0,3.0,1.0,35.0,4.0,"Cadaverine, Biology, Mutant, Arabidopsis, Arabidopsis thaliana",It is shown that natural variation in ORGANIC CATION TRANSPORTER 1 affects root length sensitivity to exogenous cadaverine.,Journal of Experimental Botany,2014.0,"Allison K. Strohm, Laura M. Vaughn, Patrick H. Masson",10.1093/jxb/eru444,,"['Biology', 'Medicine']",,23.0,26.0,34.0,3.0,1.0,35,4.0,"Cadaverine, Biology, Mutant, Arabidopsis, Arabidopsis thaliana",It is shown that natural variation in ORGANIC CATION TRANSPORTER 1 affects root length sensitivity to exogenous cadaverine.,https://academic.oup.com/jxb/article-pdf/66/3/853/16937798/eru444.pdf
Auxin: Shape matters.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6710492/,Heliyon,2019.0,"V.L. Lozano, C.E. Miranda, A.L. Vinocur, C. González, F. Unrein, M.J. Wolansky, H.N. Pizarro",10.1016/j.heliyon.2019.e02221,,,11.0,11.0,8.0,0.0,1.5,35.0,2.0,"Turbidity, Differential (mechanical device), Environmental science, Ecology, Biology","The results suggest that 2,4-D may mimic hormonal function and provide some evidence of the importance of using community-scale approaches in ecotoxicological studies to predict changes in freshwater ecosystems exposed to a 2, 4-D-based formulation.",Heliyon,2019.0,"V.L. Lozano, C.E. Miranda, A.L. Vinocur, C. González, F. Unrein, M.J. Wolansky, H.N. Pizarro",10.1016/j.heliyon.2019.e02221,,"['Medicine', 'Chemistry']",,12.0,11.0,8.0,0.0,1.5,35,2.0,"Turbidity, Differential (mechanical device), Environmental science, Ecology, Biology","The results suggest that 2,4-D may mimic hormonal function and provide some evidence of the importance of using community-scale approaches in ecotoxicological studies to predict changes in freshwater ecosystems exposed to a 2, 4-D-based formulation.",https://www.cell.com/article/S2405844019358815/pdf
Gravity signaling in flowering plant roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Nature Communications,2025.0,"Han-Qing Wang, Xing-Yu Zhao, Zhong Tang, Xin-Yuan Huang, Peng Wang, Wenhua Zhang, Yunhui Zhang, Sheng Luan, Fang-Jie Zhao",10.1038/s41467-025-59047-z,,,3.0,1.0,1.0,0.0,8.899999999999999,10.0,16.0,"Gravitropism, Ethylene, Cell biology, Biology, Chemistry","A rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil is isolated, revealing previously unanticipated interplay among ethylene, auxin, and mechanosensing in the control of plant gravitropism.",Nature Communications,2025.0,"Han-Qing Wang, Xing-Yu Zhao, Zhong Tang, Xin-Yuan Huang, Peng Wang, Wenhua Zhang, Yunhui Zhang, Sheng Luan, Fang-Jie Zhao",10.1038/s41467-025-59047-z,,['Medicine'],,3.0,1.0,2.0,0.0,8.899999999999999,10,16.0,"Gravitropism, Ethylene, Cell biology, Biology, Chemistry","A rice mutant that displays root coiling in hydroponics but normal gravitropic growth in soil is isolated, revealing previously unanticipated interplay among ethylene, auxin, and mechanosensing in the control of plant gravitropism.",https://doi.org/10.1038/s41467-025-59047-z
Cadaverine regulates biotin synthesis to modulate primary root growth in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8518694/,The Plant Journal,2021.0,"Nicole M. Gibbs, Shih‐Heng Su, Samuel Lopez‐Nieves, Stéphane Mann, Claude Alban, Hiroshi A. Maeda, Patrick H. Masson",10.1111/tpj.15417,,,11.0,11.0,12.0,0.0,4.0,22.0,2.0,"Arabidopsis, Cadaverine, Biotin, Primary (astronomy), Chemistry","An unexpected role of cadaverine in the regulation of biotin biosynthesis, which leads to modulation of primary root growth of plants, is revealed.",The Plant Journal,2021.0,"Nicole M. Gibbs, Shih‐Heng Su, Samuel Lopez‐Nieves, Stéphane Mann, Claude Alban, Hiroshi A. Maeda, Patrick H. Masson",10.1111/tpj.15417,,['Medicine'],,11.0,11.0,12.0,0.0,4.0,22,2.0,"Arabidopsis, Cadaverine, Biotin, Primary (astronomy), Chemistry","An unexpected role of cadaverine in the regulation of biotin biosynthesis, which leads to modulation of primary root growth of plants, is revealed.",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/tpj.15417
Low-speed clinorotation of Brachypodium distachyon and Arabidopsis thaliana seedlings triggers root tip curvatures that are reminiscent of gravitropism.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9861679/,International Journal of Molecular Sciences,2023.0,"Shih-Heng Su, Alexander Moen, Rien M. Groskopf, Katherine L. Baldwin, Brian Vesperman, Patrick H. Masson",10.3390/ijms24021540,,,2.0,2.0,2.0,1.0,7.0,4.0,2.0,"Gravitropism, Brachypodium distachyon, Arabidopsis thaliana, Clinostat, Curvature",Investigation of the root curvature response to low-speed clinorotation using Arabidopsis thaliana and Brachypodium distachyon seedlings shows a role for gravitropism in modulating root tip curvature responses to Clinorotation.,International Journal of Molecular Sciences,2023.0,"Shih-Heng Su, Alexander Moen, Rien M. Groskopf, Katherine L. Baldwin, Brian Vesperman, Patrick H. Masson",10.3390/ijms24021540,,['Medicine'],,2.0,2.0,2.0,1.0,7.0,4,2.0,"Gravitropism, Brachypodium distachyon, Arabidopsis thaliana, Clinostat, Curvature",Investigation of the root curvature response to low-speed clinorotation using Arabidopsis thaliana and Brachypodium distachyon seedlings shows a role for gravitropism in modulating root tip curvature responses to Clinorotation.,https://www.mdpi.com/1422-0067/24/2/1540/pdf?version=1674043755
New device for high-throughput viability screening of flow biofilms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2897429/,Applied and Environmental Microbiology,2010.0,"Michael R. Benoit, Carolyn G. Conant, Cristian Ionescu-Zanetti, Michael Schwartz, A. Matin",10.1128/AEM.03065-09,,,141.0,163.0,171.0,8.0,3.0,238.0,1.0,"Biofilm, Microfluidics, Propidium iodide, Microtiter plate, Plate reader","It is shown that use of green fluorescent protein (GFP)-expressing bacteria, staining with propidium iodide, and measurement of fluorescence with a plate reader permit rapid and accurate determination of biofilm viability.",Applied and Environmental Microbiology,2010.0,"Michael R. Benoit, Carolyn G. Conant, Cristian Ionescu-Zanetti, Michael Schwartz, A. Matin",10.1128/AEM.03065-09,,"['Biology', 'Medicine']",,141.0,163.0,171.0,8.0,3.0,238,1.0,"Biofilm, Microfluidics, Propidium iodide, Microtiter plate, Plate reader","It is shown that use of green fluorescent protein (GFP)-expressing bacteria, staining with propidium iodide, and measurement of fluorescence with a plate reader permit rapid and accurate determination of biofilm viability.",https://doi.org/10.1128/aem.03065-09
Sigma S-dependent antioxidant defense protects stationary-phase Escherichia coli against the bactericidal antibiotic gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4187989/,Antimicrobial Agents and Chemotherapy,2014.0,"Jing-Hung Wang, Rachna Singh, Michael Benoit, Mimi Keyhan, Matthew Sylvester, Michael Hsieh, Anuradha Thathireddy, Yi-Ju Hsieh, A. C. Matin",10.1128/AAC.03683-14,,,28.0,30.0,32.0,4.0,3.75,74.0,3.0,"Oxidative stress, Reactive oxygen species, Escherichia coli, Antioxidant, Pentose phosphate pathway","Great oxidative stress, due to insufficient quenching of endogenous ROS and/or respiration-linked electron leakage, therefore contributed to the greater sensitivity of the mutant; infection by a uropathogenic strain in mice showed this to be the case also in vivo.",Antimicrobial Agents and Chemotherapy,2014.0,"Jing-Hung Wang, Rachna Singh, Michael Benoit, Mimi Keyhan, Matthew Sylvester, Michael Hsieh, Anuradha Thathireddy, Yi-Ju Hsieh, A. C. Matin",10.1128/AAC.03683-14,,"['Biology', 'Medicine']",,28.0,30.0,32.0,4.0,3.75,74,3.0,"Oxidative stress, Reactive oxygen species, Escherichia coli, Antioxidant, Pentose phosphate pathway","Great oxidative stress, due to insufficient quenching of endogenous ROS and/or respiration-linked electron leakage, therefore contributed to the greater sensitivity of the mutant; infection by a uropathogenic strain in mice showed this to be the case also in vivo.",https://aac.asm.org/content/aac/58/10/5964.full.pdf
Plasma membrane disruption (PMD) formation and repair in mechanosensitive tissues,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8217198/,Bone,2021.0,"Mackenzie L. Hagan, Vanshika Balayan, Meghan E. McGee-Lawrence",10.1016/j.bone.2021.115970,,,9.0,9.0,7.0,0.0,4.0,30.0,8.0,"Mechanosensitive channels, Cell biology, Mechanobiology, Myocyte, Biology","The purpose of this review is to describe the processes of PMD formation and repair across mechanosensitive tissues, with a particular emphasis on comparing and contrasting repair mechanisms and downstream signaling to better understand the role ofPMD in skeletal mechanobiology.",Bone,2021.0,"Mackenzie L. Hagan, Vanshika Balayan, Meghan E. McGee-Lawrence",10.1016/j.bone.2021.115970,,['Medicine'],,9.0,9.0,7.0,0.0,4.0,30,8.0,"Mechanosensitive channels, Cell biology, Mechanobiology, Myocyte, Biology","The purpose of this review is to describe the processes of PMD formation and repair across mechanosensitive tissues, with a particular emphasis on comparing and contrasting repair mechanisms and downstream signaling to better understand the role ofPMD in skeletal mechanobiology.",https://www.sciencedirect.com/science/article/am/pii/S8756328221001320
Microgravity alters the expression of salivary proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6981245/,Archives of Oral Biology,2020.0,"Arthur R. Hand, Didem Dagdeviren, Natasha A. Larson, Christopher Haxhi, Maija I. Mednieks",10.1016/j.archoralbio.2019.104621,,,7.0,7.0,7.0,0.0,7.0,21.0,1.0,"Spaceflight, Submandibular gland, Salivary gland, Saliva, Biology","It is indicated that spaceflight alters secretory protein expression in the submandibular gland and suggest that the sex of the animals and the length of the flight may affect the response, and individual salivary glands respond differently to spaceflight.",Archives of Oral Biology,2020.0,"Arthur R. Hand, Didem Dagdeviren, Natasha A. Larson, Christopher Haxhi, Maija I. Mednieks",10.1016/j.archoralbio.2019.104621,,"['Biology', 'Medicine']",,7.0,7.0,7.0,0.0,7.0,21,1.0,"Spaceflight, Submandibular gland, Salivary gland, Saliva, Biology","It is indicated that spaceflight alters secretory protein expression in the submandibular gland and suggest that the sex of the animals and the length of the flight may affect the response, and individual salivary glands respond differently to spaceflight.",https://www.sciencedirect.com/science/article/am/pii/S0003996919309100
Salivary Gland Protein Expression after Bion-M1 and Space Shuttle STS-135 Missions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6981245/,Archives of Oral Biology,2020.0,"Arthur R. Hand, Didem Dagdeviren, Natasha A. Larson, Christopher Haxhi, Maija I. Mednieks",10.1016/j.archoralbio.2019.104621,,,7.0,7.0,7.0,0.0,7.0,21.0,1.0,"Spaceflight, Submandibular gland, Salivary gland, Saliva, Biology","It is indicated that spaceflight alters secretory protein expression in the submandibular gland and suggest that the sex of the animals and the length of the flight may affect the response, and individual salivary glands respond differently to spaceflight.",Archives of Oral Biology,2020.0,"Arthur R. Hand, Didem Dagdeviren, Natasha A. Larson, Christopher Haxhi, Maija I. Mednieks",10.1016/j.archoralbio.2019.104621,,"['Biology', 'Medicine']",,7.0,7.0,7.0,0.0,7.0,21,1.0,"Spaceflight, Submandibular gland, Salivary gland, Saliva, Biology","It is indicated that spaceflight alters secretory protein expression in the submandibular gland and suggest that the sex of the animals and the length of the flight may affect the response, and individual salivary glands respond differently to spaceflight.",https://www.sciencedirect.com/science/article/am/pii/S0003996919309100
Response of the mouse sublingual gland to spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6131065/,European Journal of Oral Sciences,2018.0,"Didem Dagdeviren, John Beallias, Izaz Khan, Maija I. Mednieks, Arthur R. Hand",10.1111/eos.12541,,,6.0,7.0,7.0,0.0,7.0,10.0,1.0,"Spaceflight, Sublingual gland, Immunohistochemistry, Endocrinology, Serous fluid","The results indicate that the response of salivary glands to spaceflight conditions varies among the different glands, cell types, and secretory proteins, and the spaceflight environment modifies protein expression.",European Journal of Oral Sciences,2018.0,"Didem Dagdeviren, John Beallias, Izaz Khan, Maija I. Mednieks, Arthur R. Hand",10.1111/eos.12541,,"['Medicine', 'Chemistry']",,6.0,7.0,7.0,0.0,7.0,10,1.0,"Spaceflight, Sublingual gland, Immunohistochemistry, Endocrinology, Serous fluid","The results indicate that the response of salivary glands to spaceflight conditions varies among the different glands, cell types, and secretory proteins, and the spaceflight environment modifies protein expression.",https://europepmc.org/articles/pmc6131065?pdf=render
Effects of spaceflight on the mouse submandibular gland,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11233762/,Frontiers in Physiology,2024.0,"Takehito Ouchi, Kyosuke Kono, Ryouichi Satou, Ryuya Kurashima, Koji Yamaguchi, Maki Kimura, Yoshiyuki Shibukawa",10.3389/fphys.2024.1417719,,,4.0,1.0,3.0,0.0,11.25,4.0,5.0,"Downregulation and upregulation, Biology, Biochemistry, Gene","This study highlights Amy1 as a potential candidate marker for stress regulation in salivary glands in the lunar gravity environment, and results imply that lunar gravity upregulates salivary amylase secretion via Rap/Rab signaling and exocytosis via Vamp8.",Frontiers in Physiology,2024.0,"Takehito Ouchi, Kyosuke Kono, Ryouichi Satou, Ryuya Kurashima, Koji Yamaguchi, Maki Kimura, Yoshiyuki Shibukawa",10.3389/fphys.2024.1417719,,['Medicine'],,4.0,2.0,3.0,0.0,11.25,4,5.0,"Downregulation and upregulation, Biology, Biochemistry, Gene","This study highlights Amy1 as a potential candidate marker for stress regulation in salivary glands in the lunar gravity environment, and results imply that lunar gravity upregulates salivary amylase secretion via Rap/Rab signaling and exocytosis via Vamp8.",https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2024.1417719/pdf
"Reactivation of Latent Epstein-Barr Virus: A Comparison after Exposure to Gamma, Proton, Carbon, and Iron Radiation",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6213004/,International Journal of Molecular Sciences,2018.0,"Satish Mehta, David Bloom, Ianik Plante, Raymond Stowe, Alan Feiveson, Ashlie Renner, Adit Dhummakupt, Dhruv Markan, Ye Zhang, Honglu Wu, Blaire Scoles, Jeffrey Cohen, Brian Crucian, Duane Pierson",10.3390/ijms19102961,,,18.0,19.0,18.0,0.0,0.25,24.0,1.0,"Lytic cycle, Virus, Immune system, Virology, Biology","This work shows that reactivation of viruses can occur due to the effect of different types of radiation on latently infected cells in the absence of changes or cytokines produced in the immune system, and challenges the common relative biological effectiveness concept used in radiobiology for other end points.",International Journal of Molecular Sciences,2018.0,"Satish Mehta, David Bloom, Ianik Plante, Raymond Stowe, Alan Feiveson, Ashlie Renner, Adit Dhummakupt, Dhruv Markan, Ye Zhang, Honglu Wu, Blaire Scoles, Jeffrey Cohen, Brian Crucian, Duane Pierson",10.3390/ijms19102961,,"['Medicine', 'Chemistry']",,18.0,19.0,18.0,0.0,0.25,24,1.0,"Lytic cycle, Virus, Immune system, Virology, Biology","This work shows that reactivation of viruses can occur due to the effect of different types of radiation on latently infected cells in the absence of changes or cytokines produced in the immune system, and challenges the common relative biological effectiveness concept used in radiobiology for other end points.",https://www.mdpi.com/1422-0067/19/10/2961/pdf?version=1539089304
